Date,TotalClones,UniqueClones
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,0,0
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,78,53
2026-04-02,13,10
2026-04-03,0,0
2026-04-04,3,3
2026-04-05,94,36
2026-04-06,31,9
2026-04-07,8,3
2026-04-08,15,5
2026-04-09,23,11
2026-04-10,19,8
2026-04-11,30,16
2026-04-12,41,19
2026-04-13,20,13
2026-04-14,25,11
2026-04-15,27,10
2026-04-16,70,30
2026-04-17,7,3
2026-04-18,4,1
2026-04-19,5,2
2026-04-20,6,3
2026-04-21,6,3
2026-04-22,68,26
2026-04-23,89,22
2026-04-24,26,8
2026-04-25,83,44
2026-04-26,29,13
2026-04-27,31,14
2026-04-28,37,16
2026-04-29,29,9
2026-04-30,105,37
2026-05-01,314,39
2026-05-02,22,10
2026-05-03,50,17
2026-05-04,28,13
2026-05-05,40,14
2026-05-06,18,8
2026-05-07,27,11
2026-05-08,27,14
2026-05-09,12,4
2026-05-10,30,13
2026-05-11,31,15
2026-05-12,8,3
2026-05-13,30,12
2026-05-14,19,5
2026-05-15,14,5
2026-05-16,24,9
2026-05-17,34,16
2026-05-18,22,9
2026-05-19,19,9
2026-05-20,25,12
2026-05-21,32,14
2026-05-22,27,14
2026-05-23,23,12
2026-05-24,23,11
2026-05-25,44,19
2026-05-26,17,6
2026-05-27,23,10
2026-05-28,21,7
2026-05-29,19,8
2026-05-30,23,10
2026-05-31,28,14
2026-06-01,32,16
2026-06-02,18,7
2026-06-03,18,8
2026-06-04,30,12
2026-06-05,26,13
2026-06-06,16,7
2026-06-07,29,13
2026-06-08,17,7
2026-06-09,26,11
2026-06-10,20,10
2026-06-11,19,8
2026-06-12,22,9
2026-06-13,33,13
2026-06-14,37,13
2026-06-15,12,4
2026-06-16,27,9
2026-06-17,20,6
2026-06-18,27,9
2026-06-19,64,22
2026-06-20,44,15
2026-06-21,39,12
2026-06-22,47,14
2026-06-23,32,9
2026-06-24,43,15
2026-06-25,203,23
2026-06-26,14,6
2026-06-27,17,6
2026-06-28,23,10
2026-06-29,22,9
2026-06-30,19,7
2026-07-01,24,11
2026-07-02,28,11
2026-07-03,25,11
2026-07-04,28,14
2026-07-05,17,7
2026-07-06,25,13
2026-07-07,22,10
2026-07-08,26,11
2026-07-09,9,2
2026-07-10,8,3
2026-07-11,8,2
2026-07-12,9,3
2026-07-13,7,3
2026-07-14,5,2
2026-07-15,4,1
2026-07-16,7,2
2026-07-17,4,1
2026-07-18,4,1
2026-07-19,4,1
2026-07-20,4,1
2026-07-21,5,2
2026-07-22,7,3
2026-07-23,18,8
2026-07-24,6,1
2026-07-25,6,1
2026-07-26,6,1
2026-07-27,14,5
2026-07-28,14,5
2026-07-29,7,2
2026-07-30,8,1
2026-07-31,7,2
2026-08-01,13,5
2026-08-02,6,1
2026-08-03,9,4
2026-08-04,38,12
2026-08-05,10,5
2026-08-06,8,1
2026-08-07,14,5
2026-08-08,27,12
2026-08-09,14,5
2026-08-10,7,2
2026-08-11,14,5
2026-08-12,16,6
2026-08-13,15,4
2026-08-14,16,6
2026-08-15,6,1
2026-08-16,13,2
2026-08-17,15,6
2026-08-18,16,6
2026-08-19,11,3
2026-08-20,22,8
2026-08-21,9,4
2026-08-22,7,2
2026-08-23,7,2
2026-08-24,8,3
2026-08-25,6,1
2026-08-26,6,1
2026-08-27,7,2
2026-08-28,6,1
2026-08-29,8,1
2026-08-30,8,3
2026-08-31,7,2
2026-09-01,13,7
2026-09-02,7,2
2026-09-03,6,1
2026-09-04,9,2
2026-09-05,8,3
2026-09-06,8,3
2026-09-07,42,28
2026-09-08,14,9
2026-09-09,9,3
2026-09-10,9,2
2026-09-11,16,8
