CollectedDate,Referrer,TotalViews,UniqueVisitors
"2026-04-05","statics.teams.cdn.office.net",26,2
"2026-04-05","github.com",16,1
"2026-04-05","Bing",5,4
"2026-04-06","statics.teams.cdn.office.net",26,2
"2026-04-06","github.com",16,1
"2026-04-06","Bing",5,4
"2026-04-07","statics.teams.cdn.office.net",26,2
"2026-04-07","github.com",18,2
"2026-04-07","Bing",5,4
"2026-04-08","statics.teams.cdn.office.net",26,2
"2026-04-08","github.com",18,2
"2026-04-08","Bing",5,4
"2026-04-09","statics.teams.cdn.office.net",26,2
"2026-04-09","github.com",20,3
"2026-04-09","Bing",5,4
"2026-04-10","statics.teams.cdn.office.net",26,2
"2026-04-10","github.com",20,3
"2026-04-10","Bing",5,4
"2026-04-11","statics.teams.cdn.office.net",26,2
"2026-04-11","github.com",20,3
"2026-04-11","Bing",5,4
"2026-04-12","statics.teams.cdn.office.net",26,2
"2026-04-12","github.com",21,3
"2026-04-12","Bing",5,4
"2026-04-13","statics.teams.cdn.office.net",26,2
"2026-04-13","github.com",21,3
"2026-04-13","Bing",5,4
"2026-04-14","statics.teams.cdn.office.net",26,2
"2026-04-14","github.com",21,3
"2026-04-14","Bing",5,4
"2026-04-15","statics.teams.cdn.office.net",26,2
"2026-04-15","github.com",24,3
"2026-04-15","Bing",5,4
"2026-04-23","statics.teams.cdn.office.net",38,8
"2026-04-23","github.com",14,3
"2026-04-23","Bing",9,9
"2026-04-24","statics.teams.cdn.office.net",40,8
"2026-04-24","github.com",14,3
"2026-04-24","Bing",11,11
