Date,TotalReleaseDownloads,ReleaseCount,AssetCount
2026-04-05,0,1,0
2026-04-06,0,1,0
2026-04-07,0,1,0
2026-04-08,0,1,0
2026-04-09,0,1,0
2026-04-10,0,1,0
2026-04-11,0,1,0
2026-04-12,0,1,0
2026-04-13,0,1,0
2026-04-14,0,1,0
2026-04-15,0,1,0
2026-04-23,0,1,0
2026-04-24,0,1,0
2026-04-25,0,1,0
2026-04-26,0,1,0
2026-04-27,0,1,0
2026-04-28,0,1,0
2026-04-29,0,1,0
2026-04-30,0,1,0
2026-05-01,0,1,0
2026-05-02,0,1,0
2026-05-03,0,1,0
2026-05-04,0,1,0
2026-05-05,0,1,0
2026-05-06,0,1,0
2026-05-07,0,1,0
2026-05-08,0,1,0
2026-05-09,0,1,0
2026-05-10,0,1,0
2026-05-11,0,1,0
2026-05-12,0,1,0
2026-05-13,0,1,0
2026-05-14,0,1,0
2026-05-15,0,1,0
2026-05-16,0,1,0
2026-05-17,0,1,0
2026-05-18,0,1,0
